"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Gorzków";"gmina do 20 tyś.";"060603";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Kasprzak";"Marek";"M";"54";"średnie";"członek Polskiego Stronnictwa Ludowego";;"060603";"Gorzków";"Gorzków Wieś";;"2";"921";"44,90"
"1";"Karczmiska";"gmina do 20 tyś.";"061203";"Reeve";"KOMITET WYBORCZY WYBORCÓW OBYWATELSKIE POROZUMIENIE SAMORZĄDOWE";"DLB-7503-104/10";"wyborczy";"4";"Olszowy";"Zenon Ryszard";"M";"61";"Średnie";;;"061203";"Karczmiska";"Noworąblów";;"N";"645";"27,06"
"1";"Kazimierz Dolny";"gmina do 20 tyś.";"061404";"Mayor";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"1";"Bagiński";"Zbigniew Józef";"M";"59";"Wyższe";;;"066301";"Lublin";"Lublin";;"N";"76";"2,44"
"1";"Rossosz";"gmina do 20 tyś.";"060113";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Pajnowski";"Grzegorz";"M";"35";"wyższe";;;"060113";"Rossosz";"Kożanówka";;"N";"174";"15,56"
"1";"Godziszów";"gmina do 20 tyś.";"060504";"Reeve";"KOMITET WYBORCZY WYBORCÓW STRAŻAK - POWIAT JANOWSKI";"DZM-7503-6/10";"wyborczy";"1";"Gzik";"Bolesław";"M";"57";"wyższe";;;"060504";"Godziszów";"Godziszów Pierwszy";;"N";"1059";"31,78"
"1";"Dzwola";"gmina do 20 tyś.";"060503";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE INICJATYW SAMORZĄDOWYCH";"DZM-7503-40/10";"wyborczy";"2";"Rożek";"Stanisław Antoni";"M";"54";"wyższe";;;"060503";"Dzwola";"Zofianka Dolna";;"N";"1488";"49,57"
"1";"Borzechów";"gmina do 20 tyś.";"060902";"Reeve";"KOMITET WYBORCZY WYBORCÓW GMINA BORZECHÓW-NASZ WSPÓLNY DOM";"DLB-7503-163/10";"wyborczy w gminie do 20 tys.";"3";"Madzelan";"Zenon Stanisław";"M";"51";"wyższe administracyjne";"członek Sojuszu Lewicy Demokratycznej";;"060902";"Borzechów";"Majdan Skrzyniecki";;"T";"1252";"59,31"
"1";"Borzechów";"gmina do 20 tyś.";"060902";"Reeve";"KOMITET WYBORCZY WYBORCÓW BORZECHÓW-CZAS NA ZMIANY";"DLB-7503-207/10";"wyborczy w gminie do 20 tys.";"2";"Kołtun";"Andrzej Jan";"M";"53";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"060709";"Wilkołaz";"Wilkołaz II";;"N";"205";"9,71"
"1";"Borzechów";"gmina do 20 tyś.";"060902";"Reeve";"KOMITET WYBORCZY WYBORCÓW UCZCIWOŚĆ I SOLIDARNOŚĆ";"DLB-7503-328/10";"wyborczy";"1";"Bieniek";"Janina";"K";"54";"wyższe";;;"060902";"Borzechów";"Borzechów Kolonia";;"N";"654";"30,98"
"1";"Tereszpol";"gmina do 20 tyś.";"060213";"Reeve";"KOMITET WYBORCZY WYBORCÓW BIŁGORAJSKIE POROZUMIENIE SAMORZĄDÓW";"DZM-7503-7/10";"wyborczy";"1";"Borowiec";"Andrzej";"M";"37";"wyższe";;;"060202";"Aleksandrów";"Aleksandrów Czwarty";;"N";"110";"6,29"
"1";"Drelów";"gmina do 20 tyś.";"060104";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""ADAMA SZULIKA""";"DBP-7503-37/10";"wyborczy w gminie do 20 tys.";"3";"Szulik";"Adam Krzysztof";"M";"53";"wyższe";;;"060101";"Międzyrzec Podlaski";"Międzyrzec Podlaski";;"N";"393";"15,39"
"1";"Tereszpol";"gmina do 20 tyś.";"060213";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"4";"Mróz";"Piotr Jacek";"M";"42";"wyższe";"członek Prawa i Sprawiedliwości";;"060213";"Tereszpol";"Tereszpol-Zaorenda";;"N";"208";"11,90"
"1";"Tereszpol";"gmina do 20 tyś.";"060213";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Mielnik";"Jan Józef";"M";"58";"wyższe";"członek Polskiego Stronnictwa Ludowego";;"060213";"Tereszpol";"Tereszpol-Zygmunty";;"T";"908";"51,95"
"1";"Wąwolnica";"gmina do 20 tyś.";"061410";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""DLA WSPÓLNEGO DOBRA""";"DLB-7503-215/10";"wyborczy w gminie do 20 tys.";"1";"Matraszek-Furtak";"Anna Aldona";"K";"49";"wyższe";;"popierana przez Prawo i Sprawiedliwość";"061410";"Wąwolnica";"Karmanowice";;"N";"732";"38,49"
"1";"Zakrzówek";"gmina do 20 tyś.";"060710";"Reeve";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI";"DLB-7503-16/10";"wyborczy w gminie do 20 tys.";"1";"Cieśla";"Andrzej Jan";"M";"50";"średnie";;;"060710";"Zakrzówek";"Zakrzówek";;"2";"1225";"42,45"
