"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Łambinowice";"gmina do 20 tyś.";"160704";"Reeve";"KOMITET WYBORCZY STOWARZYSZENIE ""FORUM SAMORZĄDOWE 2002""";"DOP2-7502-5/10";"organizacja";"2";"Lipka";"Stanisław Jan";"M";"65";"średnie";;;"160704";"Łambinowice";"Mańkowice";;"N";"276";"9,69"
"1";"Kluczbork";"gmina pow. 20 tyś.";"160402";"Mayor";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE";"DOP1-7503-144/10";"wyborczy";"4";"Maryniak - Dudzik";"Bożena Małgorzata";"K";"34";"wyższe";;;"160402";"Kluczbork";"Kluczbork";;"N";"586";"4,88"
"1";"Lasowice Wielkie";"gmina do 20 tyś.";"160403";"Reeve";"KOMITET WYBORCZY TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW NA ŚLĄSKU OPOLSKIM";"DOP1-7502-4/10";"organizacja";"3";"Skoczylas";"Otylia Helena";"K";"51";"średnie";;;"160403";"Lasowice Wielkie";"Chocianowice";;"2";"770";"33,51"
"1";"Kluczbork";"gmina pow. 20 tyś.";"160402";"Mayor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"5";"Mierzwa";"Leszek Jerzy";"M";"54";"wyższe";"członek Prawa i Sprawiedliwości";;"160402";"Kluczbork";"Gotartów";;"N";"531";"4,42"
"1";"Murów";"gmina do 20 tyś.";"160906";"Reeve";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"1";"Kamińska";"Barbara Ewa";"K";"48";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"160906";"Murów";"Murów";;"2";"701";"36,25"
"1";"Popielów";"gmina do 20 tyś.";"160909";"Reeve";"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA";"DOP1-7503-7/10";"wyborczy";"2";"Kubów";"Przemysław Wojciech";"M";"32";"wyższe";"członek Prawa i Sprawiedliwości";;"160908";"Ozimek";"Grodziec";;"N";"635";"25,02"
"1";"Prudnik";"gmina pow. 20 tyś.";"161004";"Mayor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Czerwiński";"Jerzy";"M";"50";"wyższe";"członek Ruchu Katolicko-Narodowego";;"161004";"Prudnik";"Prudnik";;"N";"1539";"18,05"
"1";"Wilków";"gmina do 20 tyś.";"160605";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"5";"Zdyb";"Bogdan Franciszek";"M";"47";"wyższe";;;"160605";"Wilków";"Pągów";;"2";"803";"40,03"
"1";"Kluczbork";"gmina pow. 20 tyś.";"160402";"Mayor";"KOMITET WYBORCZY WYBORCÓW ZIEMIA KLUCZBORSKA";"DOP1-7503-9/10";"wyborczy";"2";"Kielar";"Jarosław Krzysztof";"M";"49";"wyższe";;;"160402";"Kluczbork";"Kluczbork";;"T";"9230";"76,85"
"1";"Praszka";"gmina do 20 tyś.";"160804";"Mayor";"KOMITET WYBORCZY WYBORCÓW JANUSZA TOBISIA";"DOP1-7503-22/10";"wyborczy w gminie do 20 tys.";"6";"Tobiś";"Janusz Józef";"M";"48";"wyższe";;;"160804";"Praszka";"Praszka";;"N";"747";"14,50"
"1";"Cisek";"gmina do 20 tyś.";"160303";"Reeve";"KOMITET WYBORCZY RUCH AUTONOMII ŚLĄSKA";"ZPOW-7502-1/10";"organizacja";"1";"Ketzler";"Alojzy Leonard";"M";"52";"zawodowe";;;"160303";"Cisek";"Cisek";;"N";"810";"41,26"
