"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Stegna";"gmina do 20 tyś.";"221004";"Reeve";"KOMITET WYBORCZY WYBORCÓW PONAD PODZIAŁAMI";"DGD-75031-223/10";"wyborczy w gminie do 20 tys.";"2";"Ciechanowicz";"Grzegorz";"M";"61";"Wyższe";;;"221004";"Stegna";"Junoszyno";;"N";"100";"2,79"
"1";"Czersk";"gmina pow. 20 tyś.";"220204";"Mayor";"KOMITET WYBORCZY WYBORCÓW PRAWORZĄDNOŚĆ I SAMORZĄDNOŚĆ";"DSL-7503-147/10";"wyborczy";"3";"Kałdunski";"Krzysztof Bernard";"M";"50";"wyższe";;;"220204";"Czersk";"Malachin";;"N";"501";"6,31"
"1";"Suchy Dąb";"gmina do 20 tyś.";"220407";"Reeve";"KOMITET WYBORCZY WYBORCÓW LECH IRENEUSZ";"DGD-75031-123/10";"wyborczy w gminie do 20 tys.";"6";"Lech";"Ireneusz";"M";"50";"wyższe";;;"220401";"Pruszcz Gdański";"Pruszcz Gdański";;"N";"148";"9,30"
"1";"Nowa Wieś Lęborska";"gmina do 20 tyś.";"220804";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Pietrzak";"Jolanta Urszula";"K";"51";"wyższe";"członek Prawa i Sprawiedliwości";;"220801";"Lębork";"Lębork";;"N";"246";"5,00"
"1";"Lichnowy";"gmina do 20 tyś.";"220903";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SPOŁECZNO-SAMORZĄDOWE";"DGD-7503-5/10";"wyborczy";"1";"Lamkowski";"Waldemar";"M";"56";"wyższe";"członek Polskiego Stronnictwa Ludowego";;"220901";"Malbork";"Malbork";;"2";"635";"37,71"
"1";"Lichnowy";"gmina do 20 tyś.";"220903";"Reeve";"KOMITET WYBORCZY WYBORCÓW ZAWSZE WŚRÓD LUDZI";"DGD-75031-65/10";"wyborczy w gminie do 20 tys.";"3";"Michalski";"Jan Wojciech";"M";"49";"zawodowe";"członek Polskiego Stronnictwa Ludowego";;"220903";"Lichnowy";"Lichnowy";;"2";"701";"41,63"
"1";"Sulęczyno";"gmina do 20 tyś.";"220507";"Reeve";"KOMITET WYBORCZY WYBORCÓW PRZYSZŁOŚĆ GMINY OD NAS ZALEŻY";"DGD-75031-289/10";"wyborczy w gminie do 20 tys.";"1";"Grucza";"Bernard Stanisław";"M";"58";"wyższe ekonomiczne";;;"220507";"Sulęczyno";"Sulęczyno";;"T";"1301";"54,99"
"1";"Czersk";"gmina pow. 20 tyś.";"220204";"Mayor";"KOMITET WYBORCZY WYBORCÓW ""PROJEKT SAMORZĄDNOŚĆ""";"DSL-7503-55/10";"wyborczy";"1";"Grzonka";"Marek";"M";"44";"wyższe";;;"220204";"Czersk";"Czersk";;"N";"485";"6,10"
"1";"Czersk";"gmina pow. 20 tyś.";"220204";"Mayor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"5";"Mollin";"Henryk Józef";"M";"52";"zawodowe";"członek Prawa i Sprawiedliwości";;"220204";"Czersk";"Czersk";;"N";"452";"5,69"
"1";"Główczyce";"gmina do 20 tyś.";"221204";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE ZIEMI SŁUPSKIEJ";"DSL-7503-20/10";"wyborczy";"3";"Nesterowicz";"Karol";"M";"58";"średnie";;;"221204";"Główczyce";"Główczyce";;"N";"927";"29,52"
"1";"Główczyce";"gmina do 20 tyś.";"221204";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""SAMORZĄDNOŚĆ GMINY GŁÓWCZYCE""";"DSL-7503-107/10";"wyborczy w gminie do 20 tys.";"1";"Florkowska";"Teresa Barbara";"K";"54";"wyższe";;;"221204";"Główczyce";"Główczyce";;"T";"1832";"58,34"
"1";"Ostaszewo";"gmina do 20 tyś.";"221003";"Reeve";"KOMITET WYBORCZY WYBORCÓW SAMORZĄDOWE FORUM WYBORCZE ""RAZEM LEPIEJ""";"DGD-7503-22/10";"wyborczy";"3";"Krokosz";"Zbigniew Stanisław";"M";"48";"średnie";;;"221003";"Ostaszewo";"Nowa Kościelnica";;"2";"472";"32,09"
"1";"Lichnowy";"gmina do 20 tyś.";"220903";"Reeve";"KOMITET WYBORCZY WYBORCÓW LESZEK LIPA";"DGD-75031-144/10";"wyborczy w gminie do 20 tys.";"2";"Lipa";"Leszek Wiesław";"M";"38";"średnie";;;"220903";"Lichnowy";"Lisewo Malborskie";;"N";"150";"8,91"
"1";"Nowa Karczma";"gmina do 20 tyś.";"220607";"Reeve";"KOMITET WYBORCZY WYBORCÓW ROZWÓJ GMINY";"DGD-75031-241/10";"wyborczy w gminie do 20 tys.";"2";"Smuczyński";"Tomasz Piotr";"M";"38";"wyższe";;;"220607";"Nowa Karczma";"Nowa Karczma";;"N";"723";"27,02"
"1";"Starogard Gdański";"gmina pow. 20 tyś.";"221303";"President";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"1";"Gabriel";"Patryk";"M";"33";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"221303";"Starogard Gdański";"Starogard Gdański";;"2";"5832";"40,76"
"1";"Starogard Gdański";"gmina pow. 20 tyś.";"221303";"President";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Kozak";"Zbigniew Ryszard";"M";"49";"wyższe";"członek Prawa i Sprawiedliwości";;"226201";"Gdynia";"Gdynia";;"N";"2529";"17,68"
"1";"Starogard Gdański";"gmina do 20 tyś.";"221312";"Reeve";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA STAROGARD GDAŃSKI";"DGD-75031-89/10";"wyborczy w gminie do 20 tys.";"1";"Połom";"Stanisław Franciszek";"M";"64";"Wyższe";;;"221312";"Starogard Gdański";"Siwiałka";;"T";"3423";"77,06"
"1";"Miłoradz";"gmina do 20 tyś.";"220906";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SPOŁECZNO-SAMORZĄDOWE";"DGD-7503-5/10";"wyborczy";"1";"Biliński";"Tadeusz";"M";"53";"wyższe";;;"220906";"Miłoradz";"Kończewice";;"2";"648";"42,66"
"1";"Stare Pole";"gmina do 20 tyś.";"220908";"Reeve";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA STARE POLE";"DGD-75031-168/10";"wyborczy w gminie do 20 tys.";"1";"Kubach";"Michał";"M";"61";"wyższe";"członek Sojuszu Lewicy Demokratycznej";;"220901";"Malbork";"Malbork";;"N";"756";"43,98"
"1";"Stare Pole";"gmina do 20 tyś.";"220908";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SPOŁECZNO-SAMORZĄDOWE";"DGD-7503-5/10";"wyborczy";"2";"Załucki";"Włodzimierz";"M";"66";"wyższe";"członek Polskiego Stronnictwa Ludowego";;"220908";"Stare Pole";"Stare Pole";;"T";"963";"56,02"
"1";"Borzytuchom";"gmina do 20 tyś.";"220101";"Reeve";"KOMITET WYBORCZY WYBORCÓW BORZYTUCHOM 2010";"DSL-7503-63/10";"wyborczy w gminie do 20 tys.";"2";"Tarnowski";"Romuald Henryk";"M";"64";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"220102";"Bytów";"Bytów";;"N";"477";"37,38"
"1";"Mikołajki Pomorskie";"gmina do 20 tyś.";"221602";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE ""POWIŚLE""";"DGD-7503-23/10";"wyborczy";"1";"Kulecki";"Kazimierz Aleksander";"M";"53";"średnie";;;"221602";"Mikołajki Pomorskie";"Sadłuki";;"T";"725";"63,60"
"1";"Trzebielino";"gmina do 20 tyś.";"220109";"Reeve";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA TRZEBIELINO";"DSL-7503-19/10";"wyborczy w gminie do 20 tys.";"1";"Czechowski";"Tomasz Mariusz";"M";"51";"Wyższe";"członek Polskiego Stronnictwa Ludowego";;"220109";"Trzebielino";"Trzebielino";;"T";"939";"64,80"
"1";"Sierakowice";"gmina do 20 tyś.";"220504";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE ""SIERAKOWICE""";"DGD-75031-17/10";"wyborczy w gminie do 20 tys.";"1";"Kobiela";"Tadeusz Roman";"M";"53";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"220504";"Sierakowice";"Gowidlino";;"T";"5621";"81,43"
"1";"Chmielno";"gmina do 20 tyś.";"220501";"Reeve";"KOMITET WYBORCZY WYBORCÓW SAMORZĄDNE KASZUBY - NASZÉ SPRAWË";"DGD-7503-26/10";"wyborczy";"2";"Roszkowski";"Zbigniew";"M";"54";"średnie";;;"220501";"Chmielno";"Garcz";;"T";"2111";"68,01"
"1";"Stary Dzierzgoń";"gmina do 20 tyś.";"221603";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Butkiewicz";"Ludwik";"M";"47";"wyższe magisterskie";;;"221603";"Stary Dzierzgoń";"Stary Dzierzgoń";;"N";"472";"21,94"
"1";"Stary Dzierzgoń";"gmina do 20 tyś.";"221603";"Reeve";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA POWIŚLA";"DGD-7503-1/10";"wyborczy";"2";"Downarowicz";"Antoni Ryszard";"M";"51";"wyższe";;;"221603";"Stary Dzierzgoń";"Folwark";;"2";"670";"31,15"
"1";"Stary Dzierzgoń";"gmina do 20 tyś.";"221603";"Reeve";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE ""POWIŚLE""";"DGD-7503-23/10";"wyborczy";"3";"Szmiłyk";"Irena";"K";"58";"wyższe";;;"221603";"Stary Dzierzgoń";"Przezmark";;"N";"207";"9,62"
"1";"Stary Dzierzgoń";"gmina do 20 tyś.";"221603";"Reeve";"KOMITET WYBORCZY WYBORCÓW DLA DOBRA GMINY";"DGD-75031-141/10";"wyborczy w gminie do 20 tys.";"4";"Turlej";"Marek Dariusz";"M";"29";"wyższe";;;"221603";"Stary Dzierzgoń";"Myślice";;"2";"802";"37,28"
"1";"Koczała";"gmina do 20 tyś.";"220305";"Reeve";"KOMITET WYBORCZY WYBORCÓW GMINA KOCZAŁA NASZĄ MAŁĄ OJCZYZNĄ";"DSL-7503-192/10";"wyborczy w gminie do 20 tys.";"1";"Dmytryszyn";"Eugeniusz";"M";"59";"Wyższe";;;"220305";"Koczała";"Koczała";;"T";"1200";"91,67"
"1";"Chojnice";"gmina pow. 20 tyś.";"220201";"Mayor";"KOMITET WYBORCZY WYBORCÓW ""PROJEKT SAMORZĄDNOŚĆ""";"DSL-7503-55/10";"wyborczy";"3";"Wenta";"Marcin Piotr";"M";"35";"wyższe";;;"220201";"Chojnice";"Chojnice";;"N";"1162";"7,81"
"1";"Kościerzyna";"gmina pow. 20 tyś.";"220601";"Mayor";"KOMITET WYBORCZY WSPÓLNOTA ZIEMI KOŚCIERSKIEJ";"DGD-7502-2/10";"organizacja";"4";"Modrzejewski";"Marcin Mikołaj";"M";"35";"wyższe";;;"220601";"Kościerzyna";"Kościerzyna";;"2";"4032";"37,89"
"1";"Kościerzyna";"gmina pow. 20 tyś.";"220601";"Mayor";"KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ I SPRAWIEDLIWOŚĆ";"DGD-7503-36/10";"wyborczy";"3";"Majewski";"Michał Marcin";"M";"41";"wyższe";"członek Prawa i Sprawiedliwości";;"220601";"Kościerzyna";"Kościerzyna";;"N";"1688";"15,86"
"1";"Choczewo";"gmina do 20 tyś.";"221504";"Reeve";"KOMITET WYBORCZY WYBORCÓW WSPÓLNA PRZYSZŁOŚĆ GMINY";"DGD-75031-31/10";"wyborczy w gminie do 20 tys.";"1";"Bianga";"Michał Zdzisław";"M";"38";"średnie";;;"221504";"Choczewo";"Osieki Lęborskie";;"N";"828";"29,39"
"1";"Choczewo";"gmina do 20 tyś.";"221504";"Reeve";"KOMITET WYBORCZY WYBORCÓW DLA DOBRA GMINY CHOCZEWO";"DGD-75031-374/10";"wyborczy w gminie do 20 tys.";"3";"Michałowski";"Jacek Tomasz";"M";"53";"średnie";"członek Polskiego Stronnictwa Ludowego";;"221504";"Choczewo";"Zwartówko";;"2";"1129";"40,08"
"1";"Choczewo";"gmina do 20 tyś.";"221504";"Reeve";"KOMITET WYBORCZY WYBORCÓW CZAS NA ROZWÓJ";"DGD-75031-164/10";"wyborczy w gminie do 20 tys.";"2";"Gębka";"Wiesław";"M";"54";"średnie";;;"221504";"Choczewo";"Starbienino";;"2";"860";"30,53"
"1";"Liniewo";"gmina do 20 tyś.";"220605";"Reeve";"KOMITET WYBORCZY WYBORCÓW 100% DLA GMINY LINIEWO";"DGD-75031-44/10";"wyborczy w gminie do 20 tys.";"2";"Hinc";"Andrzej";"M";"32";"wyższe";;;"220605";"Liniewo";"Garczyn";;"2";"1036";"44,98"
"1";"Czarna Dąbrówka";"gmina do 20 tyś.";"220103";"Reeve";"KOMITET WYBORCZY WYBORCÓW SPRÓBUJMY RAZEM";"DSL-7503-48/10";"wyborczy w gminie do 20 tys.";"4";"Narloch";"Dariusz Tomisław";"M";"43";"średnie";;;"220103";"Czarna Dąbrówka";"Czarna Dąbrówka";;"N";"105";"3,90"
"1";"Debrzno";"gmina do 20 tyś.";"220304";"Mayor";"KOMITET WYBORCZY WYBORCÓW ""W JEDNOŚCI SIŁA""";"DSL-7503-64/10";"wyborczy w gminie do 20 tys.";"1";"Burak";"Mirosław";"M";"54";"średnie";;;"220304";"Debrzno";"Debrzno";"złożył następujące oświadczenie: byłem współpracownikiem organów bezpieczeństwa państwa w rozumieniu ustawy z dnia ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944-1990 oraz treści tych dokumentów (Dz. U z 2007 r. Nr 63, poz. 425, z późn. zm.)";"T";"2561";"70,98"
"1";"Debrzno";"gmina do 20 tyś.";"220304";"Mayor";"KOMITET WYBORCZY WYBORCÓW MARKA ROMANIEC";"DSL-7503-84/10";"wyborczy w gminie do 20 tys.";"2";"Romaniec";"Marek Dariusz";"M";"40";"wyższe";;;"220304";"Debrzno";"Debrzno";;"N";"608";"16,85"
"1";"Gdynia";"miasto na prawach powiatu";"226201";"President";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"1";"Byczkowski";"Wiesław Zbigniew";"M";"54";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"226201";"Gdynia";"Gdynia";;"N";"5981";"6,51"
"1";"Sztum";"gmina do 20 tyś.";"221605";"Mayor";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Cymerys";"Wojciech";"M";"49";"wyższe";"członek Polskiego Stronnictwa Ludowego";;"221605";"Sztum";"Postolin";;"N";"852";"13,25"
"1";"Sztum";"gmina do 20 tyś.";"221605";"Mayor";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA POWIŚLA";"DGD-7503-1/10";"wyborczy";"3";"Tabor";"Leszek Jan";"M";"52";"wyższe";;;"221605";"Sztum";"Sztum";;"2";"3175";"49,36"
"1";"Czarna Woda";"gmina do 20 tyś.";"221301";"Mayor";"KOMITET WYBORCZY WYBORCÓW MICHAŁA OSTOJA - LNISKIEGO";"DGD-75031-100/10";"wyborczy w gminie do 20 tys.";"3";"Ostoja-Lniski";"Michał Jan";"M";"49";"Średnie";;;"221301";"Czarna Woda";"Czarna Woda";;"2";"432";"27,69"
"1";"Potęgowo";"gmina do 20 tyś.";"221207";"Reeve";"KOMITET WYBORCZY WYBORCÓW WOJCIECH DOMAGAŁA";"DSL-7503-188/10";"wyborczy w gminie do 20 tys.";"3";"Domagała";"Wojciech";"M";"46";"wyższe";;;"221207";"Potęgowo";"Potęgowo";;"N";"383";"13,18"
"1";"Dzierzgoń";"gmina do 20 tyś.";"221601";"Mayor";"KOMITET WYBORCZY WYBORCÓW Z LUDŹMI I DLA LUDZI";"DGD-75031-104/10";"wyborczy w gminie do 20 tys.";"1";"Szewczun";"Kazimierz";"M";"52";"wyższe";;;"221601";"Dzierzgoń";"Stanówko";;"T";"2221";"72,35"
"1";"Skarszewy";"gmina do 20 tyś.";"221309";"Mayor";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA SAMORZĄDNOŚĆ";"DGD-7503-16/10";"wyborczy";"3";"Skalski";"Dariusz Władysław";"M";"50";"Wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"221309";"Skarszewy";"Skarszewy";;"2";"2639";"46,88"
"1";"Kościerzyna";"gmina do 20 tyś.";"220604";"Reeve";"KOMITET WYBORCZY WYBORCÓW TWOJA GMINA KOŚCIERZYNA";"DGD-75031-346/10";"wyborczy w gminie do 20 tys.";"3";"Świtała";"Grzegorz Tomasz";"M";"33";"wyższe";;;"220604";"Kościerzyna";"Wielki Klincz";;"N";"1442";"24,08"
"1";"Kościerzyna";"gmina pow. 20 tyś.";"220601";"Mayor";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"1";"Czucha";"Zdzisław Józef";"M";"51";"wyższe techniczne";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"220601";"Kościerzyna";"Kościerzyna";;"2";"4575";"43,00"
"1";"Kępice";"gmina do 20 tyś.";"221205";"Mayor";"KOMITET WYBORCZY WYBORCÓW NASZA WSPÓLNA GMINA";"DSL-7503-124/10";"wyborczy w gminie do 20 tys.";"2";"Lisowski";"Paweł Michał";"M";"27";"wyższe";;;"221205";"Kępice";"Warcino";;"N";"948";"24,47"
"1";"Osieczna";"gmina do 20 tyś.";"221307";"Reeve";"KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA - OSIECZNA";"DGD-75031-335/10";"wyborczy w gminie do 20 tys.";"2";"Stosik";"Stanisław Edmund";"M";"38";"wyższe";;;"221307";"Osieczna";"Osieczna";;"2";"510";"36,88"
"1";"Potęgowo";"gmina do 20 tyś.";"221207";"Reeve";"KOMITET WYBORCZY WYBORCÓW PIOTR LEMEK";"DSL-7503-195/10";"wyborczy w gminie do 20 tys.";"4";"Lemek";"Piotr";"M";"40";"wyższe";;;"221207";"Potęgowo";"Rzechcino";;"N";"90";"3,10"
"1";"Rumia";"gmina pow. 20 tyś.";"221502";"Mayor";"KOMITET WYBORCZY WYBORCÓW E. ROGALA KOŃCZAK  - ""GOSPODARNOŚĆ.PL""";"DGD-7503-12/10";"wyborczy";"4";"Rogala-Kończak";"Elżbieta Jolanta";"K";"58";"wyższe";;;"221502";"Rumia";"Rumia";;"T";"10567";"63,48"
"1";"Władysławowo";"gmina do 20 tyś.";"221104";"Mayor";"KOMITET WYBORCZY WYBORCÓW GRAŻYNY CERN";"DGD-75031-264/10";"wyborczy w gminie do 20 tys.";"1";"Cern";"Grażyna Emilia";"K";"48";"wyższe";;;"226101";"Gdańsk";"Gdańsk";;"T";"3886";"63,25"
"1";"Lubichowo";"gmina do 20 tyś.";"221306";"Reeve";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI 2010";"DGD-75031-18/10";"wyborczy w gminie do 20 tys.";"1";"Bieliński";"Sławomir";"M";"40";"wyższe";;;"221306";"Lubichowo";"Zelgoszcz";;"T";"1107";"60,82"
"1";"Stara Kiszewa";"gmina do 20 tyś.";"220608";"Reeve";"KOMITET WYBORCZY WYBORCÓW MARIANA PICK";"DGD-75031-201/10";"wyborczy w gminie do 20 tys.";"3";"Pick";"Marian Wincenty";"M";"60";"wyższe";;;"220605";"Liniewo";"Liniewo";;"T";"1615";"58,49"
