"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Mielno";"gmina do 20 tyś.";"320905";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""NASZA GMINA MIELNO""";"DKS-7503-4/10";"wyborczy w gminie do 20 tys.";"1";"Choiński";"Zbigniew Kazimierz";"M";"55";"Wyższe";;;"320905";"Mielno";"Mielno";;"2";"1217";"45,46"
"1";"Mieszkowice";"gmina do 20 tyś.";"320605";"Mayor";"KOMITET WYBORCZY WYBORCÓW DLA MIESZKOWIC";"DSZ-7503-238/10";"wyborczy w gminie do 20 tys.";"2";"LASKA";"RYSZARD PAWEŁ";"M";"60";"WYŻSZE";;;"320606";"Moryń";"BIELIN";;"N";"620";"20,04"
"1";"Krzęcin";"gmina do 20 tyś.";"320204";"Reeve";"KOMITET WYBORCZY WYBORCÓW GMINNA WSPÓŁPRACA";"DSZ-7503-137/10";"wyborczy w gminie do 20 tys.";"2";"ŻUCHOWSKI";"KRZYSZTOF, TELESFOR";"M";"57";"WYŻSZE";;;"320204";"Krzęcin";"KRZĘCIN";;"T";"1092";"60,40"
"1";"Krzęcin";"gmina do 20 tyś.";"320204";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"BIESIADA";"ANDRZEJ, WACŁAW";"M";"58";"WYŻSZE";;"popierany przez Polskie Stronnictwo Ludowe";"320204";"Krzęcin";"MIELĘCIN";;"N";"716";"39,60"
"1";"Radowo Małe";"gmina do 20 tyś.";"321803";"Reeve";"KOMITET WYBORCZY WYBORCÓW RUCH INICJATYW OBYWATELSKICH 2010";"DSZ-7503-166/10";"wyborczy w gminie do 20 tys.";"3";"Wypijewski";"Józef Jarosław";"M";"56";"wyższe";;;"321803";"Radowo Małe";"Radowo Małe";;"T";"757";"54,54"
"1";"Będzino";"gmina do 20 tyś.";"320901";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"3";"Osman";"Roman";"M";"48";"średnie techniczne";;"popierany przez Prawo i Sprawiedliwość";"320901";"Będzino";"Tymień";;"N";"206";"7,12"
"1";"Kamień Pomorski";"gmina do 20 tyś.";"320703";"Mayor";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"6";"ZALEWSKA-KUBIAK";"ALICJA JADWIGA";"K";"54";"WYŻSZE";;;"320703";"Kamień Pomorski";"KAMIEŃ POMORSKI";;"N";"527";"8,65"
"1";"Sławno";"gmina do 20 tyś.";"321302";"Mayor";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE DLA SŁAWNA";"DKS-7503-44/10";"wyborczy";"1";"Frankenstein";"Krzysztof Marek";"M";"37";"Wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"321302";"Sławno";"Sławno";;"T";"3730";"82,07"
"1";"Czaplinek";"gmina do 20 tyś.";"320301";"Mayor";"KOMITET WYBORCZY STOWARZYSZENIE PRZYJACIÓŁ CZAPLINKA";"DKS-7502-2/10";"organizacja";"1";"Kośmider";"Adam Sylwester";"M";"61";"wyższe";"członek Sojuszu Lewicy Demokratycznej";;"320301";"Czaplinek";"Czaplinek";"złożył następujące oświadczenie: pełniłem służbę w organach bezpieczeństwa państwa w rozumieniu ustawy z dnia ustawy z dnia 18 października 2006 r. o ujawnianiu informacji o dokumentach organów bezpieczeństwa państwa z lat 1944-1990 oraz treści tych dokumentów (Dz. U z 2007 r. Nr 63, poz. 425, z późn. zm.)";"2";"1318";"27,89"
"1";"Darłowo";"gmina do 20 tyś.";"321301";"Mayor";"KOMITET WYBORCZY WYBORCÓW BOGDANA PASŁAWSKIEGO";"DKS-7503-154/10";"wyborczy w gminie do 20 tys.";"3";"Pasławski";"Bogdan";"M";"45";"wyższe";;;"321301";"Darłowo";"Darłowo";;"N";"404";"6,97"
"1";"Polanów";"gmina do 20 tyś.";"320906";"Mayor";"KOMITET WYBORCZY WYBORCÓW MIESZKAŃCY GMINY POLANÓW";"DKS-7503-30/10";"wyborczy w gminie do 20 tys.";"1";"Lipski";"Grzegorz Paweł";"M";"50";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"320906";"Polanów";"Polanów";;"T";"2896";"88,16"
"1";"Barlinek";"gmina do 20 tyś.";"321001";"Mayor";"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY BARLINEK";"DSZ-7503-158/10";"wyborczy w gminie do 20 tys.";"1";"Maciejewski";"Mariusz Józef";"M";"49";"średnie";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"321001";"Barlinek";"Barlinek";;"N";"2864";"38,87"
"1";"Barlinek";"gmina do 20 tyś.";"321001";"Mayor";"KOMITET WYBORCZY WYBORCÓW SAMORZĄD RAZEM W BARLINKU";"DSZ-7503-13/10";"wyborczy w gminie do 20 tys.";"2";"Siarkiewicz";"Zygmunt";"M";"51";"wyższe";"członek Sojuszu Lewicy Demokratycznej";;"321001";"Barlinek";"Barlinek";;"T";"4505";"61,13"
"1";"Dobra";"gmina do 20 tyś.";"321801";"Mayor";"KOMITET WYBORCZY WYBORCÓW DOBRA 2010";"DSZ-7503-291/10";"wyborczy w gminie do 20 tys.";"2";"Szczepaniak";"Włodzimierz Mirosław";"M";"55";"Średnie";;;"321801";"Dobra";"Dobra";;"N";"391";"21,27"
"1";"Nowogard";"gmina pow. 20 tyś.";"320404";"Mayor";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"1";"Czapla";"Robert Antoni";"M";"35";"wyższe";"członek Sojuszu Lewicy Demokratycznej";"popierany przez Sojusz Lewicy Demokratycznej";"320404";"Nowogard";"Nowogard";;"2";"2982";"31,79"
"1";"Nowogard";"gmina pow. 20 tyś.";"320404";"Mayor";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"3";"Marcinkowski";"Cezary Dominik";"M";"37";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"320404";"Nowogard";"Nowogard";;"N";"744";"7,93"
"1";"Warnice";"gmina do 20 tyś.";"321206";"Reeve";"KOMITET WYBORCZY WYBORCÓW WARNICE XXI";"DSZ-7503-248/10";"wyborczy w gminie do 20 tys.";"1";"Hackiewicz-Gębska";"Anna Ewelina";"K";"31";"wyższe";;;"321206";"Warnice";"Obryta";;"T";"965";"56,97"
"1";"Chociwel";"gmina do 20 tyś.";"321402";"Mayor";"KOMITET WYBORCZY WYBORCÓW CHOCIWELSKIE FORUM SAMORZĄDOWE";"DSZ-7503-47/10";"wyborczy";"1";"Gumny";"Adam Roman";"M";"55";"Wyższe";"członek Sojuszu Lewicy Demokratycznej";;"321402";"Chociwel";"Chociwel";;"N";"1151";"45,31"
"1";"Stare Czarnowo";"gmina do 20 tyś.";"320607";"Reeve";"KOMITET WYBORCZY WYBORCÓW DANUTY OLEJNIK";"DSZ-7503-46/10";"wyborczy w gminie do 20 tys.";"3";"OLEJNIK";"DANUTA";"K";"48";"WYŻSZE";;;"320607";"Stare Czarnowo";"KOŁBACZ";;"N";"442";"22,16"
"1";"Bobolice";"gmina do 20 tyś.";"320903";"Mayor";"KOMITET WYBORCZY WYBORCÓW SILNY REGION";"DKS-7503-24/10";"wyborczy";"3";"Karolik";"Arkadiusz Kazimierz";"M";"43";"wyższe";"członek Stronnictwa Demokratycznego";;"320903";"Bobolice";"Bobolice";;"N";"160";"4,14"
"1";"Bobolice";"gmina do 20 tyś.";"320903";"Mayor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Jóźwiak";"Sławomir";"M";"50";"Wyższe";;"popierany przez Prawo i Sprawiedliwość";"320903";"Bobolice";"Świelino";;"N";"230";"5,94"
"1";"Police";"gmina pow. 20 tyś.";"321104";"Mayor";"KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP";"ZPOW-7500-10/10";"partia";"3";"KOWALEWSKI";"KRYSTIAN";"M";"34";"średnie";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"321104";"Police";"Police";;"N";"2053";"14,59"
"1";"Sianów";"gmina do 20 tyś.";"320907";"Mayor";"KOMITET WYBORCZY WYBORCÓW MARCINA RAPSIEWICZA";"DKS-7503-156/10";"wyborczy w gminie do 20 tys.";"4";"Rapsiewicz";"Marcin";"M";"33";"wyższe";;;"320907";"Sianów";"Sianów";;"N";"713";"12,96"
"1";"Nowogard";"gmina pow. 20 tyś.";"320404";"Mayor";"KOMITET WYBORCZY WYBORCÓW NOWOGARDZKIE FORUM SAMORZĄDOWE";"DSZ-7503-24/10";"wyborczy";"2";"Krzywania";"Marek";"M";"49";"wyższe ekonomiczne";;;"320404";"Nowogard";"Nowogard";;"N";"1169";"12,46"
