"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Tarnowo Podgórne";"gmina pow. 20 tyś.";"302117";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""GMINA-NASZA MAŁA OJCZYZNA""";"DPZ-7503-II-180/10";"wyborczy";"2";"Nowak";"Barbara";"K";"57";"wyższe";"członek Prawa i Sprawiedliwości";;"302117";"Tarnowo Podgórne";"Przeźmierowo";;"N";"1948";"23,75"
"1";"Duszniki";"gmina do 20 tyś.";"302402";"Reeve";"KOMITET WYBORCZY WYBORCÓW ROZWÓJ-PRZYSZŁOŚĆ";"DPI-7503-II-155/10";"wyborczy w gminie do 20 tys.";"1";"Tułodziecka-Adams";"Dorota Ewa";"K";"53";"wyższe";;;"306401";"Poznań";"Poznań";;"N";"934";"23,44"
"1";"Tarnowo Podgórne";"gmina pow. 20 tyś.";"302117";"Reeve";"KOMITET WYBORCZY WYBORCÓW PARTNERSTWO I GOSPODARNOŚĆ";"DPZ-7503-II-14/10";"wyborczy";"1";"Czajka";"Tadeusz";"M";"54";"wyższe";"członek Platformy Obywatelskiej Rzeczypospolitej Polskiej";;"302117";"Tarnowo Podgórne";"Jankowice";;"T";"6255";"76,25"
"1";"Duszniki";"gmina do 20 tyś.";"302402";"Reeve";"KOMITET WYBORCZY WYBORCÓW NOWOCZESNA GMINA";"DPI-7503-II-102/10";"wyborczy w gminie do 20 tys.";"2";"Walor";"Łukasz Jan";"M";"34";"wyższe";;;"302402";"Duszniki";"Duszniki";;"N";"453";"11,37"
"1";"Dominowo";"gmina do 20 tyś.";"302501";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""SAMORZĄDNA WIEŚ""";"DKN-7503-91/10";"wyborczy w gminie do 20 tys.";"3";"Pauter";"Krzysztof";"M";"49";"wyższe";;;"302501";"Dominowo";"Giecz";;"2";"669";"49,12"
"1";"Jaraczewo";"gmina do 20 tyś.";"300601";"Reeve";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ";"ZPOW-7500-8/10";"partia";"2";"Ochliński";"Tomasz";"M";"37";"wyższe";"członek Sojuszu Lewicy Demokratycznej";;"300601";"Jaraczewo";"Jaraczewo";;"N";"803";"21,81"
"1";"Ślesin";"gmina do 20 tyś.";"301012";"Mayor";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Niedźwiedziński";"Jan";"M";"58";"Średnie";"członek Polskiego Stronnictwa Ludowego";;"301012";"Ślesin";"Pole B";;"N";"3101";"48,70"
"1";"Czermin";"gmina do 20 tyś.";"302002";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Spychaj";"Sławomir Jan";"M";"47";"wyższe";"członek Polskiego Stronnictwa Ludowego";;"302002";"Czermin";"Wieczyn";;"T";"1514";"80,06"
"1";"Piła";"gmina pow. 20 tyś.";"301901";"President";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"3";"Kubiak";"Janusz";"M";"48";"wyższe";;;"301901";"Piła";"Piła";;"N";"3272";"13,37"
"1";"Wijewo";"gmina do 20 tyś.";"301306";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""MOJA GMINA WIJEWO""";"DLS-7503-126/10";"wyborczy w gminie do 20 tys.";"1";"Zając";"Ireneusz Jan";"M";"60";"wyższe";;;"301306";"Wijewo";"Zaborówiec";;"T";"875";"77,37"
